mz,RT,feature,withMS2
102.858650323257,1189.14089999998,f1,0
102.956813748294,83.64510000002,f2,0
103.864946812964,1112.79390000001,f3,0
103.864927607964,1190.16770000002,f4,0
104.183903762845,76.59199999998,f5,0
107.050141254361,537.5101,f6,0
107.378838580497,78.24520000002,f7,0
112.985034463534,79.97550000002,f8,0
112.985632837292,76.59019999998,f9,0
117.781878902514,76.59199999998,f10,0
120.97686241369,78.39739999998,f11,0
124.924339911242,125.53770000001,f12,0
127.093518900569,537.68129999998,f13,0
128.9595838171,75.36845,f14,0
129.055701398975,528.96199999998,f15,1
130.957273490007,94.14800000002,f16,0
130.983641373345,68.00445000001,f17,0
131.379945414501,76.569,f18,0
132.981192322643,66.70049999998,f19,0
134.574925557676,78.43959999998,f20,0
134.987964606787,68.21959999999,f21,0
136.983615779227,67.95125000001,f22,0
137.009187061911,83.857,f23,0
138.019654362601,763.68969999998,f24,0
138.179023851173,76.44580000002,f25,0
138.920950095431,64.7842,f26,0
138.987546218073,97.40689999998,f27,0
140.986071430824,93.84730000002,f28,0
141.049510734143,480.13705000001,f29,1
142.913794099335,1218.9165,f30,0
142.96461792573,156.093,f31,0
142.965559914278,159.9102,f32,0
144.978056775284,76.58694999999,f33,0
145.050612973515,337.03760000002,f34,1
145.050607813899,180.75890000002,f35,1
150.946851353343,71.53870000002,f36,0
151.022669250091,99.47885,f37,1
152.978559152146,68.0841,f38,1
155.991509409469,76.5922,f39,0
156.962909700293,66.1025,f40,0
158.576321444517,76.59209999999,f41,0
158.977314749602,67.94740000002,f42,0
158.978568754162,66.43654999999,f43,0
158.979576434428,66.70049999998,f44,0
159.066257801699,491.24559999998,f45,0
159.979362116681,66.53650000002,f46,0
159.98191454517,67.17355000001,f47,0
160.842000683739,127.99270000002,f48,0
160.842067919115,1616.27520000002,f49,0
160.843730858202,113.72679999998,f50,0
160.915439482537,85.50109999998,f51,0
160.976123987604,66.44219999998,f52,0
162.839120071504,1612.02070000002,f53,1
162.912487986926,85.44275000002,f54,0
162.982376823381,485.33140000001,f55,0
163.022655803327,101.2101,f56,0
163.061170548694,164.44270000002,f57,0
164.83611222845,113.72679999998,f58,0
164.836172142651,1616.27520000002,f59,0
164.927328896116,69.43150000002,f60,0
164.947500496317,164.97140000002,f61,0
165.019314168418,510.12949999998,f62,1
165.05570586493,602.73479999999,f63,0
166.022667906028,510.12949999998,f64,0
168.836272812328,66.44219999998,f65,0
168.989360816083,792.59579999999,f66,1
170.004294399921,537.58524999998,f67,0
170.833266217099,67.17329999999,f68,0
170.870859351194,67.84325000001,f69,0
170.9442533772,83.5643,f70,0
171.000854639751,537.48919999998,f71,0
171.002088181088,538.32079999999,f72,0
171.003668598282,537.5136,f73,0
171.00443322509,537.5136,f74,0
171.005635017201,537.48919999998,f75,0
171.006706206416,537.64479999998,f76,0
171.007749052491,539.11759999998,f77,0
171.008573506293,537.5101,f78,1
171.009288924816,537.5136,f79,1
171.010743255938,537.48915,f80,1
171.012088733234,537.48630000002,f81,1
171.01317786359,537.5101,f82,1
171.01411915171,537.5136,f83,0
171.014935907738,537.5101,f84,0
171.016016220346,537.49309999998,f85,0
171.017060190661,537.59569999999,f86,0
171.018133694664,537.68129999998,f87,0
171.019155154722,537.5136,f88,0
171.020252669877,537.68129999998,f89,0
171.02161068394,537.48919999998,f90,0
171.022749348665,537.48919999998,f91,0
171.066272551076,622.9194,f92,0
172.01149951516,537.51185,f93,0
172.01404893031,537.59744999999,f94,0
172.015453724915,537.5101,f95,0
172.022731741911,91.17585,f96,0
172.830255352163,66.4309,f97,0
172.867925368382,66.44219999998,f98,0
172.957919143175,92.2302,f99,1
173.006474801804,537.49565,f100,0
173.007891906003,537.5101,f101,0
173.01634385682,537.50159999999,f102,0
173.018802184332,539.12935000002,f103,0
173.045535382023,198.08750000002,f104,1
173.081921167151,604.1848,f105,1
173.11831702968,984.94259999998,f106,1
174.011252278612,537.5136,f107,0
174.956128254332,68.1055,f108,1
174.964219196549,95.8478,f109,0
175.027946943165,115.27599999998,f110,0
175.061177473703,429.49984999998,f111,1
176.962140491532,66.1025,f112,0
177.00192207066,97.80810000001,f113,0
177.040431588747,171.49299999998,f114,1
178.957817563035,65.10660000002,f115,0
178.976302287592,67.84325000001,f116,0
178.977250653315,596.53205000002,f117,0
178.977821097853,66.44219999998,f118,0
180.033590765375,392.18910000002,f119,0
180.899632164992,8.7989,f120,1
180.899673597067,67.18915000001,f121,1
180.97060701681,80.20540000001,f122,1
180.971419723013,76.57239999999,f123,1
180.973090814632,76.59199999998,f124,1
180.973504160503,67.8681,f125,1
180.974431810524,77.47359999998,f126,1
180.998951393006,101.2101,f127,0
181.071751526798,94.5783,f128,1
181.976460835693,76.64189999998,f129,0
182.896764743314,66.45040000002,f130,0
182.988612832589,707.11135,f131,0
183.102673193871,976.19139999998,f132,0
183.996663450933,97.40689999998,f133,0
184.991380022222,354.77820000002,f134,1
184.99137450828,497.5968,f135,1
184.993023345504,97.8279,f136,1
185.027778416081,719.89335000001,f137,1
185.081919634777,429.65375000002,f138,1
186.113539964623,578.18514999999,f139,1
186.918206454713,81.8612,f140,0
186.955380385004,162.04369999998,f141,0
187.007030129144,470.13990000002,f142,1
187.007033251404,642.00390000002,f143,1
187.097564699892,711.79669999998,f144,1
187.116894041691,578.37824999998,f145,0
188.912851842527,66.04000000002,f146,0
189.076820303048,575.55250000002,f147,0
190.038326298943,99.31000000002,f148,1
190.928473938199,67.81840000002,f149,0
191.034699702207,99.06045000001,f150,0
193.033216633713,101.2101,f151,0
193.090376116368,1084.36505000001,f152,1
193.090361465252,1156.90410000002,f153,1
194.082271287121,1247.3941,f154,1
194.912101015482,335.63209999998,f155,0
194.927445956794,162.13684999998,f156,0
195.08563364625,1247.3941,f157,0
195.810854121364,145.9266,f158,1
195.986337785331,81.97669999998,f159,0
196.910460795162,293.20984999999,f160,1
196.923242865559,162.1803,f161,0
196.947039659323,78.3087,f162,1
197.807902940783,145.9266,f163,0
198.940020342313,934.07890000002,f164,1
198.954307226759,97.40689999998,f165,0
199.005077602089,441.08345,f166,1
199.007026917643,441.93169999998,f167,1
199.022364602882,171.49299999998,f168,0
199.133973109197,1067.71875000001,f169,1
200.010389391801,441.93169999998,f170,1
200.129202462593,679.8713,f171,1
200.937969387119,933.98570000001,f172,0
200.952773085739,66.13269999998,f173,0
200.96528968666,87.29250000002,f174,0
200.96525613019,144.0775,f175,0
200.986279093002,250.26110000002,f176,0
201.002827806496,441.80709999998,f177,0
201.113229290929,811.85740000002,f178,0
201.984392305333,66.4001,f179,0
202.941429722536,64.58470000002,f180,1
202.968415464912,66.31829999999,f181,0
202.998305335836,101.2101,f182,1
204.791487351828,121.94200000002,f183,1
205.031092037066,99.31000000002,f184,1
206.789352852846,124.5636,f185,1
206.972748193903,68.0841,f186,1
207.012140819929,784.91659999999,f187,1
207.02962368657,99.31000000002,f188,0
207.976127586089,66.29000000002,f189,0
